sid,"splunk_server","_time","is_realtime",search,"adhoc_search_level","api_et","api_index_et","api_index_lt","api_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_search","__mv_adhoc_search_level","__mv_api_et","__mv_api_index_et","__mv_api_index_lt","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD5da38eefebd4d97f4_1713274406.5",server,"1713274406.481081",0,"| inputlookup firewall_example.csv
| stats sum(bytes_in) sum(bytes_out) by host","","1713186000.000000000",0,0,"1713274406.000000000",0,1713274406,6,"ds_BU6mpc5w",0,"1713186000.000000000","1713274406.000000000",completed,"0.043000000000000003",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD54a0eb618454a4518_1713274432.7",server,"1713274432.055065",0,"| inputlookup firewall_example.csv
| search host=host8
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_in) over myTime by host","","1713186000.000000000",0,0,"1713274432.000000000",0,1713274432,15,"ds_d7dofQOu",0,"1713186000.000000000","1713274432.000000000",canceled,"0.037",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD5ff97a6ba3f6b68a7_1713274432.8",server,"1713274432.060341",0,"| inputlookup firewall_example.csv
| search host=host8
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_out) over myTime by host","","1713186000.000000000",0,0,"1713274432.000000000",0,1713274432,15,"ds_5x5kW4iW",0,"1713186000.000000000","1713274432.000000000",canceled,"0.045",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD54a0eb618454a4518_1713274435.9",server,"1713274435.123546",0,"| inputlookup firewall_example.csv
| search host=host18
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_in) over myTime by host","","1713186000.000000000",0,0,"1713274435.000000000",0,1713274435,15,"ds_d7dofQOu",0,"1713186000.000000000","1713274435.000000000",canceled,"0.058",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD5ff97a6ba3f6b68a7_1713274435.10",server,"1713274435.130494",0,"| inputlookup firewall_example.csv
| search host=host18
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_out) over myTime by host","","1713186000.000000000",0,0,"1713274435.000000000",0,1713274435,15,"ds_5x5kW4iW",0,"1713186000.000000000","1713274435.000000000",canceled,"0.057",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD54a0eb618454a4518_1713274437.11",server,"1713274437.974898",0,"| inputlookup firewall_example.csv
| search host=host19
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_in) over myTime by host","","1713186000.000000000",0,0,"1713274437.000000000",0,1713274437,15,"ds_d7dofQOu",0,"1713186000.000000000","1713274437.000000000",canceled,"0.045",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD5ff97a6ba3f6b68a7_1713274437.12",server,"1713274437.984442",0,"| inputlookup firewall_example.csv
| search host=host19
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_out) over myTime by host","","1713186000.000000000",0,0,"1713274437.000000000",0,1713274438,15,"ds_5x5kW4iW",0,"1713186000.000000000","1713274437.000000000",canceled,"0.04",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD54a0eb618454a4518_1713274440.13",server,"1713274440.669659",0,"| inputlookup firewall_example.csv
| search host=host2
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_in) over myTime by host","","1713186000.000000000",0,0,"1713274440.000000000",0,1713274440,15,"ds_d7dofQOu",0,"1713186000.000000000","1713274440.000000000",completed,"0.131",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD5ff97a6ba3f6b68a7_1713274440.14",server,"1713274440.676000",0,"| inputlookup firewall_example.csv
| search host=host2
| eval myTime=strftime(timestamp,""%H:%M"")
| chart sum(bytes_out) over myTime by host","","1713186000.000000000",0,0,"1713274440.000000000",0,1713274440,15,"ds_5x5kW4iW",0,"1713186000.000000000","1713274440.000000000",completed,"0.14200000000000002",,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rLWRhc2hib2FyZC1zdHVkaW8__RMD5a8f5c907ff5c3d40_1713274462.15",server,"1713274462.297880",0,"| inputlookup firewall_example.csv
| eval myTime=strftime(timestamp,""%H:%M"")
| search host IN (*)
| chart count over myTime by host","","1713270840.000000000",0,0,"1713274462.000000000",0,1713274462,15,"ds_2A3Efw25",0,"1713270840.000000000","1713274462.000000000",canceled,"0.041",,,,,,,,,,,,,,,,,,,
