_time,Rate (Avg) /s
2024-05-09T03:00:00.000000+00:00,61098
2024-05-09T03:00:30.000000+00:00,62100
2024-05-09T03:01:00.000000+00:00,63287
2024-05-09T03:01:30.000000+00:00,64671
2024-05-09T03:02:00.000000+00:00,65718
2024-05-09T03:02:30.000000+00:00,66770
2024-05-09T03:03:00.000000+00:00,68180
2024-05-09T03:03:30.000000+00:00,69413
2024-05-09T03:04:00.000000+00:00,70377
2024-05-09T03:04:30.000000+00:00,71515
2024-05-09T03:05:00.000000+00:00,72421
2024-05-09T03:05:30.000000+00:00,73296
2024-05-09T03:06:00.000000+00:00,74284
2024-05-09T03:06:30.000000+00:00,74819
2024-05-09T03:07:00.000000+00:00,75378
2024-05-09T03:07:30.000000+00:00,76164
2024-05-09T03:08:00.000000+00:00,76865
2024-05-09T03:08:30.000000+00:00,77846
2024-05-09T03:09:00.000000+00:00,78604
2024-05-09T03:09:30.000000+00:00,79290
2024-05-09T03:10:00.000000+00:00,80582
2024-05-09T03:10:30.000000+00:00,81567
2024-05-09T03:11:00.000000+00:00,82638
2024-05-09T03:11:30.000000+00:00,83433
2024-05-09T03:12:00.000000+00:00,84418
2024-05-09T03:12:30.000000+00:00,85539
2024-05-09T03:13:00.000000+00:00,86403
2024-05-09T03:13:30.000000+00:00,87558
2024-05-09T03:14:00.000000+00:00,88496
2024-05-09T03:14:30.000000+00:00,89467
2024-05-09T03:15:00.000000+00:00,90346
2024-05-09T03:15:30.000000+00:00,91684
2024-05-09T03:16:00.000000+00:00,92621
2024-05-09T03:16:30.000000+00:00,93327
2024-05-09T03:17:00.000000+00:00,94395
2024-05-09T03:17:30.000000+00:00,95050
2024-05-09T03:18:00.000000+00:00,95996
2024-05-09T03:18:30.000000+00:00,96522
2024-05-09T03:19:00.000000+00:00,97196
2024-05-09T03:19:30.000000+00:00,98203
2024-05-09T03:20:00.000000+00:00,99350
2024-05-09T03:20:30.000000+00:00,100414
2024-05-09T03:21:00.000000+00:00,101449
2024-05-09T03:21:30.000000+00:00,102469
2024-05-09T03:22:00.000000+00:00,103267
2024-05-09T03:22:30.000000+00:00,104222
2024-05-09T03:23:00.000000+00:00,105224
2024-05-09T03:23:30.000000+00:00,106515
2024-05-09T03:24:00.000000+00:00,107641
2024-05-09T03:24:30.000000+00:00,108318
2024-05-09T03:25:00.000000+00:00,109382
2024-05-09T03:25:30.000000+00:00,110273
2024-05-09T03:26:00.000000+00:00,111078
2024-05-09T03:26:30.000000+00:00,112118
2024-05-09T03:27:00.000000+00:00,113228
2024-05-09T03:27:30.000000+00:00,114313
2024-05-09T03:28:00.000000+00:00,115049
2024-05-09T03:28:30.000000+00:00,115905
2024-05-09T03:29:00.000000+00:00,116911
2024-05-09T03:29:30.000000+00:00,118074
2024-05-09T03:30:00.000000+00:00,118977
2024-05-09T03:30:30.000000+00:00,119970
2024-05-09T03:31:00.000000+00:00,120806
2024-05-09T03:31:30.000000+00:00,121647
2024-05-09T03:32:00.000000+00:00,122903
2024-05-09T03:32:30.000000+00:00,124273
2024-05-09T03:33:00.000000+00:00,125353
2024-05-09T03:33:30.000000+00:00,126633
2024-05-09T03:34:00.000000+00:00,127763
2024-05-09T03:34:30.000000+00:00,128664
2024-05-09T03:35:00.000000+00:00,129735
2024-05-09T03:35:30.000000+00:00,131011
2024-05-09T03:36:00.000000+00:00,131944
2024-05-09T03:36:30.000000+00:00,133175
2024-05-09T03:37:00.000000+00:00,133555
2024-05-09T03:37:30.000000+00:00,134618
2024-05-09T03:38:00.000000+00:00,135539
2024-05-09T03:38:30.000000+00:00,136397
2024-05-09T03:39:00.000000+00:00,137355
2024-05-09T03:39:30.000000+00:00,137925
2024-05-09T03:40:00.000000+00:00,138880
2024-05-09T03:40:30.000000+00:00,139981
2024-05-09T03:41:00.000000+00:00,141334
2024-05-09T03:41:30.000000+00:00,142310
2024-05-09T03:42:00.000000+00:00,143242
2024-05-09T03:42:30.000000+00:00,144241
2024-05-09T03:43:00.000000+00:00,145518
2024-05-09T03:43:30.000000+00:00,146664
2024-05-09T03:44:00.000000+00:00,147616
2024-05-09T03:44:30.000000+00:00,148748
2024-05-09T03:45:00.000000+00:00,149766
2024-05-09T03:45:30.000000+00:00,150928
2024-05-09T03:46:00.000000+00:00,151728
2024-05-09T03:46:30.000000+00:00,152580
2024-05-09T03:47:00.000000+00:00,153405
2024-05-09T03:47:30.000000+00:00,154011
2024-05-09T03:48:00.000000+00:00,154974
2024-05-09T03:48:30.000000+00:00,155944
2024-05-09T03:49:00.000000+00:00,156885
2024-05-09T03:49:30.000000+00:00,157806
2024-05-09T03:50:00.000000+00:00,158522
2024-05-09T03:50:30.000000+00:00,159468
2024-05-09T03:51:00.000000+00:00,160457
2024-05-09T03:51:30.000000+00:00,161376
2024-05-09T03:52:00.000000+00:00,162438
2024-05-09T03:52:30.000000+00:00,163618
2024-05-09T03:53:00.000000+00:00,165089
2024-05-09T03:53:30.000000+00:00,166204
2024-05-09T03:54:00.000000+00:00,167313
2024-05-09T03:54:30.000000+00:00,168328
2024-05-09T03:55:00.000000+00:00,168943
2024-05-09T03:55:30.000000+00:00,169906
2024-05-09T03:56:00.000000+00:00,170858
2024-05-09T03:56:30.000000+00:00,172269
2024-05-09T03:57:00.000000+00:00,173134
2024-05-09T03:57:30.000000+00:00,174093
2024-05-09T03:58:00.000000+00:00,174990
2024-05-09T03:58:30.000000+00:00,175674
2024-05-09T03:59:00.000000+00:00,176843
2024-05-09T03:59:30.000000+00:00,177961
2024-05-09T04:00:00.000000+00:00,179118
2024-05-09T04:00:30.000000+00:00,179966
2024-05-09T04:01:00.000000+00:00,181304
2024-05-09T04:01:30.000000+00:00,182103
2024-05-09T04:02:00.000000+00:00,183314
2024-05-09T04:02:30.000000+00:00,184851
2024-05-09T04:03:00.000000+00:00,185747
2024-05-09T04:03:30.000000+00:00,186714
2024-05-09T04:04:00.000000+00:00,187792
2024-05-09T04:04:30.000000+00:00,188721
2024-05-09T04:05:00.000000+00:00,189410
