"_time","Rate (Avg) /s"
"2024-05-09T03:00:00.000+00:00",60655
"2024-05-09T03:00:30.000+00:00",60659
"2024-05-09T03:01:00.000+00:00",60665
"2024-05-09T03:01:30.000+00:00",60669
"2024-05-09T03:02:00.000+00:00",60673
"2024-05-09T03:02:30.000+00:00",60678
"2024-05-09T03:03:00.000+00:00",60683
"2024-05-09T03:03:30.000+00:00",60689
"2024-05-09T03:04:00.000+00:00",60693
"2024-05-09T03:04:30.000+00:00",60697
"2024-05-09T03:05:00.000+00:00",60701
"2024-05-09T03:05:30.000+00:00",60708
"2024-05-09T03:06:00.000+00:00",60712
"2024-05-09T03:06:30.000+00:00",60716
"2024-05-09T03:07:00.000+00:00",60720
"2024-05-09T03:07:30.000+00:00",60727
"2024-05-09T03:08:00.000+00:00",60731
"2024-05-09T03:08:30.000+00:00",60735
"2024-05-09T03:09:00.000+00:00",60740
"2024-05-09T03:09:30.000+00:00",60746
"2024-05-09T03:10:00.000+00:00",60750
"2024-05-09T03:10:30.000+00:00",60754
"2024-05-09T03:11:00.000+00:00",60758
"2024-05-09T03:11:30.000+00:00",60764
"2024-05-09T03:12:00.000+00:00",60769
"2024-05-09T03:12:30.000+00:00",60773
"2024-05-09T03:13:00.000+00:00",60777
"2024-05-09T03:13:30.000+00:00",60783
"2024-05-09T03:14:00.000+00:00",60787
"2024-05-09T03:14:30.000+00:00",60792
"2024-05-09T03:15:00.000+00:00",60796
"2024-05-09T03:15:30.000+00:00",60800
"2024-05-09T03:16:00.000+00:00",60806
"2024-05-09T03:16:30.000+00:00",60810
"2024-05-09T03:17:00.000+00:00",60814
"2024-05-09T03:17:30.000+00:00",60818
"2024-05-09T03:18:00.000+00:00",60827
"2024-05-09T03:18:30.000+00:00",60833
"2024-05-09T03:19:00.000+00:00",60837
"2024-05-09T03:19:30.000+00:00",60841
"2024-05-09T03:20:00.000+00:00",60847
"2024-05-09T03:20:30.000+00:00",60851
"2024-05-09T03:21:00.000+00:00",60856
"2024-05-09T03:21:30.000+00:00",60860
"2024-05-09T03:22:00.000+00:00",60866
"2024-05-09T03:22:30.000+00:00",60870
"2024-05-09T03:23:00.000+00:00",60874
"2024-05-09T03:23:30.000+00:00",60878
"2024-05-09T03:24:00.000+00:00",60885
"2024-05-09T03:24:30.000+00:00",60889
"2024-05-09T03:25:00.000+00:00",60893
"2024-05-09T03:25:30.000+00:00",60897
"2024-05-09T03:26:00.000+00:00",60903
"2024-05-09T03:26:30.000+00:00",60907
"2024-05-09T03:27:00.000+00:00",60912
"2024-05-09T03:27:30.000+00:00",60916
"2024-05-09T03:28:00.000+00:00",60920
"2024-05-09T03:28:30.000+00:00",60927
"2024-05-09T03:29:00.000+00:00",60931
"2024-05-09T03:29:30.000+00:00",60935
"2024-05-09T03:30:00.000+00:00",60939
"2024-05-09T03:30:30.000+00:00",60946
"2024-05-09T03:31:00.000+00:00",60950
"2024-05-09T03:31:30.000+00:00",60954
"2024-05-09T03:32:00.000+00:00",60958
"2024-05-09T03:32:30.000+00:00",60964
"2024-05-09T03:33:00.000+00:00",60969
"2024-05-09T03:33:30.000+00:00",60973
"2024-05-09T03:34:00.000+00:00",60977
"2024-05-09T03:34:30.000+00:00",60983
"2024-05-09T03:35:00.000+00:00",60987
"2024-05-09T03:35:30.000+00:00",60991
"2024-05-09T03:36:00.000+00:00",60995
"2024-05-09T03:36:30.000+00:00",61003
"2024-05-09T03:37:00.000+00:00",61007
"2024-05-09T03:37:30.000+00:00",61011
"2024-05-09T03:38:00.000+00:00",61015
"2024-05-09T03:38:30.000+00:00",61021
"2024-05-09T03:39:00.000+00:00",61025
"2024-05-09T03:39:30.000+00:00",61030
"2024-05-09T03:40:00.000+00:00",61033
"2024-05-09T03:40:30.000+00:00",61038
"2024-05-09T03:41:00.000+00:00",61044
"2024-05-09T03:41:30.000+00:00",61048
"2024-05-09T03:42:00.000+00:00",61053
"2024-05-09T03:42:30.000+00:00",61057
"2024-05-09T03:43:00.000+00:00",61063
"2024-05-09T03:43:30.000+00:00",61067
"2024-05-09T03:44:00.000+00:00",61072
"2024-05-09T03:44:30.000+00:00",61076
"2024-05-09T03:45:00.000+00:00",61082
"2024-05-09T03:45:30.000+00:00",61086
"2024-05-09T03:46:00.000+00:00",61091
"2024-05-09T03:46:30.000+00:00",61095
"2024-05-09T03:47:00.000+00:00",61101
"2024-05-09T03:47:30.000+00:00",61105
"2024-05-09T03:48:00.000+00:00",61110
"2024-05-09T03:48:30.000+00:00",61114
"2024-05-09T03:49:00.000+00:00",61120
"2024-05-09T03:49:30.000+00:00",61125
"2024-05-09T03:50:00.000+00:00",61129
"2024-05-09T03:50:30.000+00:00",61133
"2024-05-09T03:51:00.000+00:00",61137
"2024-05-09T03:51:30.000+00:00",61143
"2024-05-09T03:52:00.000+00:00",61148
"2024-05-09T03:52:30.000+00:00",61154
"2024-05-09T03:53:00.000+00:00",61158
"2024-05-09T03:53:30.000+00:00",61164
"2024-05-09T03:54:00.000+00:00",61168
"2024-05-09T03:54:30.000+00:00",61172
"2024-05-09T03:55:00.000+00:00",61176
"2024-05-09T03:55:30.000+00:00",61183
"2024-05-09T03:56:00.000+00:00",61187
"2024-05-09T03:56:30.000+00:00",61191
"2024-05-09T03:57:00.000+00:00",61195
"2024-05-09T03:57:30.000+00:00",61202
"2024-05-09T03:58:00.000+00:00",61206
"2024-05-09T03:58:30.000+00:00",61210
"2024-05-09T03:59:00.000+00:00",61214
"2024-05-09T03:59:30.000+00:00",61220
"2024-05-09T04:00:00.000+00:00",61224
"2024-05-09T04:00:30.000+00:00",61229
"2024-05-09T04:01:00.000+00:00",61233
"2024-05-09T04:01:30.000+00:00",61239
"2024-05-09T04:02:00.000+00:00",61245
"2024-05-09T04:02:30.000+00:00",61249
"2024-05-09T04:03:00.000+00:00",61253
"2024-05-09T04:03:30.000+00:00",61257
"2024-05-09T04:04:00.000+00:00",61263
"2024-05-09T04:04:30.000+00:00",61268
"2024-05-09T04:05:00.000+00:00",61272
"2024-05-09T04:05:30.000+00:00",61276
"2024-05-09T04:06:00.000+00:00",61282
"2024-05-09T04:06:30.000+00:00",61286
"2024-05-09T04:07:00.000+00:00",61291
"2024-05-09T04:07:30.000+00:00",61295
"2024-05-09T04:08:00.000+00:00",61301
"2024-05-09T04:08:30.000+00:00",61305
"2024-05-09T04:09:00.000+00:00",61309
"2024-05-09T04:09:30.000+00:00",61313
"2024-05-09T04:10:00.000+00:00",61321
"2024-05-09T04:10:30.000+00:00",61325
"2024-05-09T04:11:00.000+00:00",61329
"2024-05-09T04:11:30.000+00:00",61333
"2024-05-09T04:12:00.000+00:00",61339
"2024-05-09T04:12:30.000+00:00",61344
"2024-05-09T04:13:00.000+00:00",61348
"2024-05-09T04:13:30.000+00:00",61352
"2024-05-09T04:14:00.000+00:00",61358
"2024-05-09T04:14:30.000+00:00",61362
"2024-05-09T04:15:00.000+00:00",61366
"2024-05-09T04:15:30.000+00:00",61371
"2024-05-09T04:16:00.000+00:00",61376
"2024-05-09T04:16:30.000+00:00",61382
"2024-05-09T04:17:00.000+00:00",61386
"2024-05-09T04:17:30.000+00:00",61390
"2024-05-09T04:18:00.000+00:00",61394
"2024-05-09T04:18:30.000+00:00",61400
"2024-05-09T04:19:00.000+00:00",61405
"2024-05-09T04:19:30.000+00:00",61409
"2024-05-09T04:20:00.000+00:00",61413
"2024-05-09T04:20:30.000+00:00",61419
"2024-05-09T04:21:00.000+00:00",61423
"2024-05-09T04:21:30.000+00:00",61427
"2024-05-09T04:22:00.000+00:00",61433
"2024-05-09T04:22:30.000+00:00",61439
"2024-05-09T04:23:00.000+00:00",61443
"2024-05-09T04:23:30.000+00:00",61447
"2024-05-09T04:24:00.000+00:00",61451
"2024-05-09T04:24:30.000+00:00",61457
"2024-05-09T04:25:00.000+00:00",61463
"2024-05-09T04:25:30.000+00:00",61468
"2024-05-09T04:26:00.000+00:00",61472
"2024-05-09T04:26:30.000+00:00",61478
"2024-05-09T04:27:00.000+00:00",61482
"2024-05-09T04:27:30.000+00:00",61486
"2024-05-09T04:28:00.000+00:00",61491
"2024-05-09T04:28:30.000+00:00",61495
"2024-05-09T04:29:00.000+00:00",61501
"2024-05-09T04:29:30.000+00:00",61505
"2024-05-09T04:30:00.000+00:00",61509
"2024-05-09T04:30:30.000+00:00",61514
"2024-05-09T04:31:00.000+00:00",61520
"2024-05-09T04:31:30.000+00:00",61524
"2024-05-09T04:32:00.000+00:00",61528
"2024-05-09T04:32:30.000+00:00",61532
"2024-05-09T04:33:00.000+00:00",61538
"2024-05-09T04:33:30.000+00:00",61542
"2024-05-09T04:34:00.000+00:00",61547
"2024-05-09T04:34:30.000+00:00",61551
"2024-05-09T04:35:00.000+00:00",61557
"2024-05-09T04:35:30.000+00:00",61562
"2024-05-09T04:36:00.000+00:00",61566
"2024-05-09T04:36:30.000+00:00",61570
"2024-05-09T04:37:00.000+00:00",61577
"2024-05-09T04:37:30.000+00:00",61581
"2024-05-09T04:38:00.000+00:00",61585
"2024-05-09T04:38:30.000+00:00",61589
"2024-05-09T04:39:00.000+00:00",61595
"2024-05-09T04:39:30.000+00:00",61599
"2024-05-09T04:40:00.000+00:00",61604
"2024-05-09T04:40:30.000+00:00",61608
"2024-05-09T04:41:00.000+00:00",61614
"2024-05-09T04:41:30.000+00:00",61618
