sid,"splunk_server","_time","is_realtime",provenance,search,"adhoc_search_level","api_et","api_index_et","api_index_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et",status,"total_run_time","__mv_sid","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_search","__mv_adhoc_search_level","__mv_api_et","__mv_api_index_et","__mv_api_index_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_status","__mv_total_run_time"
"admin__admin__search__search14_1717114430.540",server,"1717114430.182794",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717114412.539* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717100030.000000000",0,0,3,1717114430,3,search14,60,"1717100030.000000000",completed,"0.34400000000000003",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717114430.541",server,"1717114430.258342",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717114412.539 splunk_server=local","","1717100030.000000000",0,0,0,1717114430,1,baseSearch,0,"1717100030.000000000",completed,"0.08600000000000001",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717115618.664",server,"1717115618.980726",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101218.000000000",0,0,5,1717115619,5,search14,79,"1717101218.000000000",completed,"0.246",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717115618.665",server,"1717115618.993878",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101218.000000000",0,0,0,1717115619,1,baseSearch,0,"1717101218.000000000",completed,"0.115",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717115679.695",server,"1717115679.788767",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101279.000000000",0,0,0,1717115679,1,baseSearch,0,"1717101279.000000000",completed,"0.085",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717115679.696",server,"1717115679.801957",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101279.000000000",0,0,5,1717115679,5,search14,84,"1717101279.000000000",completed,"0.299",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717115741.727",server,"1717115741.183445",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101341.000000000",0,0,0,1717115741,1,baseSearch,0,"1717101341.000000000",completed,"0.245",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717115742.728",server,"1717115742.162315",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101342.000000000",0,0,5,1717115742,5,search14,89,"1717101342.000000000",completed,"0.23500000000000001",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717115803.759",server,"1717115803.162855",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101403.000000000",0,0,0,1717115803,1,baseSearch,0,"1717101403.000000000",completed,"0.076",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717115805.772",server,"1717115805.451647",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101405.000000000",0,0,5,1717115805,5,search14,94,"1717101405.000000000",completed,"0.128",,,,,,,,,,,,,,,,,,
